Solution #,Unfilled Shifts,Workload Std Dev
1,571.0,1.6239616848483869
2,572.0,1.602624034998481
3,573.0,1.5757190463223782
4,577.0,1.5235778711322008
5,579.0,1.5157574545939152
6,580.0,1.3833041952335654
7,586.0,1.3618570911436754
8,589.0,1.3318355542570144
9,590.0,1.3111095547141778
10,591.0,1.3027478013380518
11,592.0,1.2684806258469357
12,595.0,1.208138963081299
13,598.0,1.2073472228154307
14,604.0,1.2042317752123624
15,608.0,1.1708151027885216
16,610.0,1.156965760005224
17,612.0,1.1354541815269814
18,615.0,1.101935261686467
19,617.0,1.0863289778790626
20,619.0,1.0855742332456557
21,620.0,1.0736170207639655
22,623.0,1.0523488093445659
23,625.0,1.0428953093783377
24,626.0,1.0380375846682697
25,626.0,1.0380375846682697
26,627.0,1.0169655717445847
27,630.0,0.9762566136095671
28,632.0,0.9735944090614146
29,642.0,0.9384442174938913
30,646.0,0.9379346088668501
31,650.0,0.9362582275288862
32,660.0,0.9313576586433591
33,661.0,0.9143349875001212
34,661.0,0.9143349875001212
35,662.0,0.8495932083237288
